"%s","%s"
"%s %s will expire after %s day(s)","%s %s will expire after %s day(s)"
"%s (%s)","%s (%s)"
"%s day(s)","%s day(s)"
"%s for birthday","%s for birthday"
"'To Date' must be equal or more than 'From Date'","'To Date' must be equal or more than 'From Date'"
"-- None --","-- None --"
"Action","Action"
"Actions","Actions"
"Activate","Activate"
"Activate Coupon","Activate Coupon"
"Activation Count","Activation Count"
"Active","Active"
"Add New Coupon","Add New Coupon"
"Add Rate","Add Rate"
"Add Reward Points","Add Reward Points"
"Add Transaction","Add Transaction"
"Adjustment Fee","Adjustment Fee"
"Adjustment Refund","Adjustment Refund"
"Advanced","Advanced"
"After Tax","After Tax"
"Amount available for paying at checkout by points, %","Amount available for paying at checkout by points, %"
"Applies only to registered customers, may vary when logged in.","Applies only to registered customers, may vary when logged in."
"Apply MSS rule:","Apply MSS rule:"
"Apply earn rate if rule matched","Apply earn rate if rule matched"
"Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules""","Apply earn rate if rule matched ""Promotions/Points and Rewards/Reward Rules"""
"Apply the rule only if the following conditions are met (leave blank for all products)","Apply the rule only if the following conditions are met (leave blank for all products)"
"Are you sure to clear all log entries?","Are you sure to clear all log entries?"
"Are you sure to reset all transactions?","Are you sure to reset all transactions?"
"Are you sure?","Are you sure?"
"Aw Points balance","Aw Points balance"
"Back","Back"
"Back to Invitations","Back to Invitations"
"Balance Change","Balance Change"
"Balance is limited at %s %s.","Balance is limited at %s %s."
"Balance limitation:","Balance limitation:"
"Balance update email","Balance update email"
"Before Tax","Before Tax"
"Billing Address","Billing Address"
"Block title","Block title"
"Can use points with Magento coupon","Can use points with Magento coupon"
"Cancel earned points after order refunding","Cancel earned points after order refunding"
"Cancel earned points on order refund","Cancel earned points on order refund"
"Cancelation of order #%s","Cancelation of order #%s"
"Canceled","Canceled"
"Canceled earned points on order refund","Canceled earned points on order refund"
"Cancellation of order %s","Cancellation of order %s"
"Cannot load summary, action - %s, amount - %s","Cannot load summary, action - %s, amount - %s"
"Cannot save rate. Check if the same rate for this website and customer group exists","Cannot save rate. Check if the same rate for this website and customer group exists"
"Cart Attribute","Cart Attribute"
"Cart Item Attribute","Cart Item Attribute"
"Cart Subtotal:","Cart Subtotal:"
"Checkout","Checkout"
"Checkout now and earn %s %s !","Checkout now and earn %s %s !"
"Checkout now and earn %s %s (%s) !","Checkout now and earn %s %s (%s) !"
"Clear Log","Clear Log"
"Comment","Comment"
"Comments and Balance Change cannot be empty, at least one customer must be selected","Comments and Balance Change cannot be empty, at least one customer must be selected"
"Conditions","Conditions"
"Conditions Combination","Conditions Combination"
"Conditions combination","Conditions combination"
"Configuration","Configuration"
"Consider newsletter signup by admin","Consider newsletter signup by admin"
"Country","Country"
"Coupon # %s","Coupon # %s"
"Coupon Activation","Coupon Activation"
"Coupon Code","Coupon Code"
"Coupon Information","Coupon Information"
"Coupon Name","Coupon Name"
"Coupon activation period has expired","Coupon activation period has expired"
"Coupon cannot be used today","Coupon cannot be used today"
"Coupon is inactive","Coupon is inactive"
"Coupon is not active yet","Coupon is not active yet"
"Coupon was NOT activated","Coupon was NOT activated"
"Coupon was activated","Coupon was activated"
"Coupon was successfully deleted","Coupon was successfully deleted"
"Coupon with this code is already exists","Coupon with this code is already exists"
"Coupons","Coupons"
"Current Balance: <strong> %s %s </strong>","Current Balance: <strong> %s %s </strong>"
"Current exchange rates:","Current exchange rates:"
"Customer Email","Customer Email"
"Customer Group","Customer Group"
"Customer Group IDs","Customer Group IDs"
"Customer Groups","Customer Groups"
"Customer Name","Customer Name"
"Customer Since","Customer Since"
"Customer with email: %s has already been registered","Customer with email: %s has already been registered"
"Customers can be filtered using Market Segmentation Suite rules. %s","Customers can be filtered using Market Segmentation Suite rules. %s"
"Customer’s birthday","Customer’s birthday"
"Date","Date"
"Date Expire","Date Expire"
"Date Start","Date Start"
"Date created","Date created"
"Day limit for points for inviting a friend","Day limit for points for inviting a friend"
"Default global value is %s. Set the value to ""0"" or leave the field empty to disable expiration for this transaction.","Default global value is %s. Set the value to ""0"" or leave the field empty to disable expiration for this transaction."
"Deactivate","Deactivate"
"Delete","Delete"
"Delete Rate","Delete Rate"
"Delete Rule","Delete Rule"
"Description","Description"
"Description: %s","Description: %s"
"Details","Details"
"Discount","Discount"
"Discount :","Discount :"
"Discount Amount","Discount Amount"
"Discount%s","Discount%s"
"E-mail","E-mail"
"Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>.","Each <strong> %s </strong> %s can be redeemed for <strong> %s </strong>."
"Each <strong> %s </strong> spent will earn <strong> %s </strong> %s.","Each <strong> %s </strong> spent will earn <strong> %s </strong> %s."
"Each earned %s record expires in <span> %s </span> days","Each earned %s record expires in <span> %s </span> days"
"Each order","Each order"
"Earn Rate","Earn Rate"
"Earning Points","Earning Points"
"Edit Rate #%s","Edit Rate #%s"
"Edit Rule '%s'","Edit Rule '%s'"
"Email","Email"
"Email Notification Settings","Email Notification Settings"
"Email Notification Settings was not changed","Email Notification Settings was not changed"
"Email sending before points expiring (in days)","Email sending before points expiring (in days)"
"Email wasn't sent. Please try later.","Email wasn't sent. Please try later."
"Email wasn\'t sent. Please try later.","Email wasn\'t sent. Please try later."
"Empty value means the transaction will never expire","Empty value means the transaction will never expire"
"Enable","Enable"
"Enable notifications","Enable notifications"
"Enable referral system","Enable referral system"
"Enable reward rules functionality","Enable reward rules functionality"
"Enable rewards history","Enable rewards history"
"Enter a negative number to subtract from balance","Enter a negative number to subtract from balance"
"Enter coupon code here:","Enter coupon code here:"
"Error on saving invitation data for email: %s","Error on saving invitation data for email: %s"
"Error while resetting transaction(s)","Error while resetting transaction(s)"
"Error while saving transaction","Error while saving transaction"
"Error while subscribing for newsletter","Error while subscribing for newsletter"
"Exchange rates are incorrect","Exchange rates are incorrect"
"Excl. Tax","Excl. Tax"
"Expiration Date","Expiration Date"
"Expiration date removed","Expiration date removed"
"Expiration date saved","Expiration date saved"
"Expired","Expired"
"Expire at: %s","Expire at: %s"
"Expires on %s","Expires on %s"
"Fields","Fields"
"First order","First order"
"For <a href=""http://ecommerce.aheadworks.com/magento-extensions/video-testimonials.html"">Video Testimonials</a>","For <a href=""http://ecommerce.aheadworks.com/magento-extensions/video-testimonials.html"">Video Testimonials</a>"
"For Video Testimonials","For Video Testimonials"
"For Video Testimonials points/day limit","For Video Testimonials points/day limit"
"For customer birthday","For customer birthday"
"From","From"
"From Date","From Date"
"From:","From:"
"General","General"
"General Information","General Information"
"Gift Certificate","Gift Certificate"
"Gift Message for this Order","Gift Message for this Order"
"Grand Total","Grand Total"
"Grand Total to be charged","Grand Total to be charged"
"Group","Group"
"Guest can not work with points","Guest can not work with points"
"How to calculate points","How to calculate points"
"ID","ID"
"Identifier","Identifier"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"Inactive","Inactive"
"Incl. Tax","Incl. Tax"
"Incorrect points amount","Incorrect points amount"
"Info Page","Info Page"
"Invalid coupon code","Invalid coupon code"
"Invitation accepted","Invitation accepted"
"Invitation accepted (Not your affiliate)","Invitation accepted (Not your affiliate)"
"Invitation e-mail","Invitation e-mail"
"Invitation for %s has been sent.","Invitation for %s has been sent."
"Invitation for %s is not sent. Please try later.","Invitation for %s is not sent. Please try later."
"Invitation for email: %s has already been registered","Invitation for email: %s has already been registered"
"Invitation for email: %s has already been accepted","Invitation for email: %s has already been accepted"
"Invitation sent","Invitation sent"
"Invite your friends by entering their email addresses below","Invite your friends by entering their email addresses below"
"Invitee became a customer","Invitee became a customer"
"Invitee became a customer (Not your affiliate)","Invitee became a customer (Not your affiliate)"
"Invoice #","Invoice #"
"Invoice #%s","Invoice #%s"
"Invoices","Invoices"
"Item","Item"
"Item was successfully saved","Item was successfully saved"
"Items Invoiced","Items Invoiced"
"Items Ordered","Items Ordered"
"Items Refunded","Items Refunded"
"Keep log for, days","Keep log for, days"
"Learn more","Learn more"
"Leave empty to avoid the limitation","Leave empty to avoid the limitation"
"Maximum available points balance","Maximum available points balance"
"Message","Message"
"Message:","Message:"
"Minimum number of words in the review","Minimum number of words in the review"
"Minimum reward points balance to be available to redeem","Minimum reward points balance to be available to redeem"
"Module","Module"
"My Cart","My Cart"
"My Invitation","My Invitation"
"My test notice","My test notice"
"Name","Name"
"Name: %s","Name: %s"
"New Rule","New Rule"
"New coupon","New coupon"
"Newsletter signup","Newsletter signup"
"No","No"
"No Transactions Found","No Transactions Found"
"not set","not set"
"Notice","Notice"
"Notifications","Notifications"
"Object","Object"
"Only those who purchased product can gain points","Only those who purchased product can gain points"
"Order #%s","Order #%s"
"Order Date: %s","Order Date: %s"
"Order Subtotal","Order Subtotal"
"Ordered","Ordered"
"Participating in poll","Participating in poll"
"Participating in poll points/day limit","Participating in poll points/day limit"
"Payment Method","Payment Method"
"Please enter new rule name","Please enter new rule name"
"Please, enter a coupon code","Please, enter a coupon code"
"Please, wait %s seconds before submitting","Please, wait %s seconds before submitting"
"Point unit name","Point unit name"
"Points","Points"
"Points & Reward Rule","Points & Reward Rule"
"Points & Rewards","Points & Rewards"
"Points & Rewards Refund","Points & Rewards Refund"
"Points & Rewards Rules","Points & Rewards Rules"
"Points Amount","Points Amount"
"Points Balance Change","Points Balance Change"
"Points Balance Limit: <strong> %s </strong>","Points Balance Limit: <strong> %s </strong>"
"Points Rates","Points Rates"
"Points and Rewards","Points and Rewards"
"Points and Rewards Balance Update","Points and Rewards Balance Update"
"Points and Rewards Customer Birthday","Points and Rewards Customer Birthday"
"Points and Rewards Expiration Warning","Points and Rewards Expiration Warning"
"Points and Rewards Invitation","Points and Rewards Invitation"
"Points awarded to customers for their referral's purchases","Points awarded to customers for their referral's purchases"
"Points awarded to customers for their referral's purchases (% from purchase sum)","Points awarded to customers for their referral's purchases (% from purchase sum)"
"Points awarded to customers for their referral's purchases (fixed points amount)","Points awarded to customers for their referral's purchases (fixed points amount)"
"Points calculation","Points calculation"
"Points canceled because of referral order refund","Points canceled because of referral order refund"
"Points cancelled because of refund of %s item(s) related to order %s","Points cancelled because of refund of %s item(s) related to order %s"
"Points cancelled because of referral order refund","Points cancelled because of referral order refund"
"Points cancelled because of refund of order #%s","Points cancelled because of refund of order #%s"
"Points customer birthday email","Points customer birthday email"
"Points earning calculation","Points earning calculation"
"Points expire email","Points expire email"
"Points for customer's birthday email","Points for customer's birthday email"
"Points for inviting a friend","Points for inviting a friend"
"Points spending calculation","Points spending calculation"
"Points won't be earned if a customer is subscribed by admin","Points won't be earned if a customer is subscribed by admin"
"Price","Price"
"Price in cart","Price in cart"
"Print All Invoices","Print All Invoices"
"Print All Refunds","Print All Refunds"
"Print Invoice","Print Invoice"
"Print Refund","Print Refund"
"Priority","Priority"
"Priority is arranged in the ascending order, 0 the highest","Priority is arranged in the ascending order, 0 the highest"
"Product Attribute","Product Attribute"
"Product Name","Product Name"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Purchasing this item will earn you %s %s !","Purchasing this item will earn you %s %s !"
"Purchasing this item will earn you %s reward points (%s %s) !","Purchasing this item will earn you %s reward points (%s %s) !"
"Qty","Qty"
"Qty Invoiced","Qty Invoiced"
"Quantity in cart","Quantity in cart"
"Rate","Rate"
"Rate was successfully deleted","Rate was successfully deleted"
"Rate was successfully saved","Rate was successfully saved"
"Reach %s %s to start spending them.","Reach %s %s to start spending them."
"Recently added item(s)","Recently added item(s)"
"Refer to %s transaction history to see if a specific record expires and when.","Refer to %s transaction history to see if a specific record expires and when."
"Referral system","Referral system"
"Refund #","Refund #"
"Refund #%s","Refund #%s"
"Refund of %s item(s) related to order %s","Refund of %s item(s) related to order %s"
"Refund spent points on order refund or cancellation","Refund spent points on order refund or cancellation"
"Refunds","Refunds"
"Registration","Registration"
"Related Blocks","Related Blocks"
"Reset all transactions","Reset all transactions"
"Restore spent points after order refunding","Restore spent points after order refunding"
"Reviewing product","Reviewing product"
"Reviewing product points/day limit","Reviewing product points/day limit"
"Reward Coupon","Reward Coupon"
"Reward Coupons","Reward Coupons"
"Reward Exchange Rate Information","Reward Exchange Rate Information"
"Reward Point Balance","Reward Point Balance"
"Reward Points","Reward Points"
"Reward Points History","Reward Points History"
"Reward Points Notification","Reward Points Notification"
"Reward Rules","Reward Rules"
"Reward for birthday","Reward for birthday"
"Reward for invited user placed order","Reward for invited user placed order"
"Reward for order #%s","Reward for order #%s"
"Reward for order %s#%s%s","Reward for order %s#%s%s"
"Reward for participating in poll","Reward for participating in poll"
"Reward for registration","Reward for registration"
"Reward for registration of invited user %s","Reward for registration of invited user %s"
"Reward for reviewing product %s","Reward for reviewing product %s"
"Reward for signing up to newsletter","Reward for signing up to newsletter"
"Reward for tagging product %s","Reward for tagging product %s"
"Reward point(s)","Reward point(s)"
"Reward points","Reward points"
"Reward points balance information","Reward points balance information"
"Reward points expire after, days","Reward points expire after, days"
"Rewards","Rewards"
"Row Total","Row Total"
"Row total in cart","Row total in cart"
"Rule #%s, %s","Rule #%s, %s"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Rule Title","Rule Title"
"Rule was successfully deleted","Rule was successfully deleted"
"Rule was successfully saved","Rule was successfully saved"
"SKU","SKU"
"Save And Continue Edit","Save And Continue Edit"
"Save As","Save As"
"Save Rate","Save Rate"
"Save Rule","Save Rule"
"Save Subscription Settings","Save Subscription Settings"
"Save Transaction","Save Transaction"
"Send Invitations","Send Invitations"
"Send invitation","Send invitation"
"Sender","Sender"
"Shipped","Shipped"
"Shipping","Shipping"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Country","Shipping Country"
"Shipping Method","Shipping Method"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Shipping Region"
"Shipping State/Province","Shipping State/Province"
"Show points block at product page","Show points block at product page"
"Sku","Sku"
"Spend Rate","Spend Rate"
"Spending Points","Spending Points"
"Spent on order #%s","Spent on order #%s"
"Spent on order %s#%s%s","Spent on order %s#%s%s"
"Start at: %s","Start at: %s"
"State/Province","State/Province"
"Status","Status"
"Stop further rules processing","Stop further rules processing"
"Store View","Store View"
"Subscribe customers by default","Subscribe customers by default"
"Subscribe to balance update","Subscribe to balance update"
"Subscribe to points expiration notification","Subscribe to points expiration notification"
"Subtotal","Subtotal"
"Successfully deleted","Successfully deleted"
"Tagging product","Tagging product"
"Tagging product points/day limit","Tagging product points/day limit"
"Tax","Tax"
"Telephone","Telephone"
"The Expiration Date is in the past","The Expiration Date is in the past"
"The limit of activations of this coupon is reached","The limit of activations of this coupon is reached"
"The points expiration notification has been removed","The points expiration notification has been removed"
"The points expiration notification has been saved","The points expiration notification has been saved"
"The subscription for balance update notification has been removed","The subscription for balance update notification has been removed"
"The subscription for balance update notification has been saved","The subscription for balance update notification has been saved"
"The subscription for points expiration notification has been removed","The subscription for points expiration notification has been removed"
"The subscription for points expiration notification has been saved","The subscription for points expiration notification has been saved"
"The subscription has been removed","The subscription has been removed"
"The subscription has been saved","The subscription has been saved"
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your cart."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","There are <a href=""%s""><strong>%s items</strong></a> in your cart."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your cart."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"This action is unrecoverable and will set all customers' points balance to 0","This action is unrecoverable and will set all customers' points balance to 0"
"This rule no longer exists","This rule no longer exists"
"Title","Title"
"To","To"
"To Date","To Date"
"To:","To:"
"Total Due","Total Due"
"Total Items Quantity","Total Items Quantity"
"Total Paid","Total Paid"
"Total Refunded","Total Refunded"
"Total Weight","Total Weight"
"Total of %d record(s) were successfully removed","Total of %d record(s) were successfully removed"
"Total of %s record(s) were updated.","Total of %s record(s) were updated."
"Transaction # %s | %s","Transaction # %s | %s"
"Transaction expired #%s","Transaction expired #%s"
"Transaction saved","Transaction saved"
"Transaction(s) successfully created","Transaction(s) successfully created"
"Transaction(s) successfully reseted","Transaction(s) successfully reseted"
"Transactions","Transactions"
"Transactions History","Transactions History"
"Unable to add points for invoice of order: %s","Unable to add points for invoice of order: %s"
"Unable to convert points into currency to show up in summary section of user account page.","Unable to convert points into currency to show up in summary section of user account page."
"Unable to find a coupon to delete","Unable to find a coupon to delete"
"Unable to find a page to delete","Unable to find a page to delete"
"Unable to find item to save","Unable to find item to save"
"Unable to send %s expiration email.","Unable to send %s expiration email."
"Unable to send balance update email.","Unable to send balance update email."
"Unable to send birthday notification to customer #%s","Unable to send birthday notification to customer #%s"
"Unable to set birthday for current date to customer #%s","Unable to set birthday for current date to customer #%s"
"Update Points","Update Points"
"Update Reward Points Balance","Update Reward Points Balance"
"Use my %s","Use my %s"
"Uses per Coupon","Uses per Coupon"
"Video Testimonial upload","Video Testimonial upload"
"View Transaction","View Transaction"
"Website","Website"
"Websites","Websites"
"What is it?","What is it?"
"Widget Title","Widget Title"
"Will log all aheadWorks extensions events","Will log all aheadWorks extensions events"
"Yes","Yes"
"You cannot activate this coupon twice","You cannot activate this coupon twice"
"You cannot use this coupon on this website","You cannot use this coupon on this website"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"You haven't sent any invitation yet","You haven't sent any invitation yet"
"You must be included to another group of customers to activate this coupon","You must be included to another group of customers to activate this coupon"
"You shouldn't insert any links in the text - they will be added automatically.","You shouldn't insert any links in the text - they will be added automatically."
"Your broadcast link:","Your broadcast link:"
"Your current balance is %s %s %s.","Your current balance is %s %s %s."
"ZIP","ZIP"
"Zero transaction amount","Zero transaction amount"
"aheadWorks Extensions Log","aheadWorks Extensions Log"
"aheadWorks Extensions logging","aheadWorks Extensions logging"
"days","days"
"empty or 0 - no limitations","empty or 0 - no limitations"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","is"
"is not","is not"
"is not one of","is not one of"
"is one of","is one of"
"learn more...","learn more..."
"leave empty to disable","leave empty to disable"
"leave empty to disable this feature","leave empty to disable this feature"
"less than","less than"
"of %s %s (%s) available","of %s %s (%s) available"
"total amount","total amount"
"total quantity","total quantity"
"Points for answering <a href=""https://ecommerce.aheadworks.com/magento-extensions/product-questions.html"" title=""Product Question"" target=""_blank"">Product Question</a>","Points for answering <a href=""https://ecommerce.aheadworks.com/magento-extensions/product-questions.html"" title=""Product Question"" target=""_blank"">Product Question</a>"
"Leave empty to disable","Leave empty to disable"
"Answer on question","Answer on question"
