"Customweb_Subscription::%s %s cycle","%s %s Zyklus"
"Customweb_Subscription::-- Please Select --","-- Bitte wählen --"
"Customweb_Subscription::3D Secure","3D Secure"
"Customweb_Subscription::3D Secure Authentication","3D Secure Authentifikation"
"Customweb_Subscription::3D Secure failed","3D Secure ist fehlgeschlagen."
"Customweb_Subscription::3D Secure sucess","3D Secure erfolgreich"
"Customweb_Subscription::<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note"">Das Ablaufdatumsformat ist '!format', wobei 'MM' für den Monat steht und 'YY' für das Jahr.</span>"
"Customweb_Subscription::A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"Customweb_Subscription::A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"Customweb_Subscription::A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"Customweb_Subscription::A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"Customweb_Subscription::A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"Customweb_Subscription::A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"Customweb_Subscription::A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"Customweb_Subscription::A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"Customweb_Subscription::A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"Customweb_Subscription::About","Über"
"Customweb_Subscription::About This Subscription:","Über dieses Abo:"
"Customweb_Subscription::Account Holder Name","Kontoinhaber"
"Customweb_Subscription::Account owner name.","Kontoinhaber"
"Customweb_Subscription::Action","Aktion"
"Customweb_Subscription::Activate","Aktiv"
"Customweb_Subscription::Active","Aktiv"
"Customweb_Subscription::Add","Hinzufügen"
"Customweb_Subscription::After %s more cycle(s)","Nach %s weiteren Durchgängen"
"Customweb_Subscription::Agreement Checkbox Text","Einwilligungs-Checkbox-Text"
"Customweb_Subscription::Agreement Text","Einwilligungs-Text"
"Customweb_Subscription::Agreement Title","Einwilligungs-Titel"
"Customweb_Subscription::Alias","Alias"
"Customweb_Subscription::All subscriptions are up to date.","Alle Abos sind aktuell."
"Customweb_Subscription::Allow Guest Subscriptions","Gast-Abos erlauben"
"Customweb_Subscription::American Express","American Express"
"Customweb_Subscription::Apply Subscription","Abo anwenden"
"Customweb_Subscription::Are you sure you want to authorize this subscription?","Möchten Sie dieses Abo wirklich autorisieren?"
"Customweb_Subscription::Are you sure you want to cancel this subscription?","Möchten Sie dieses Abo wirklich kündigen?"
"Customweb_Subscription::Are you sure you want to capture this subscription?","Möchten Sie dieses Abo wirklich verbuchen?"
"Customweb_Subscription::Are you sure you want to permanently delete this subscription?","Möchten Sie dieses Abo wirklich unwiderruflich löschen?"
"Customweb_Subscription::Are you sure?","Sind Sie sicher?"
"Customweb_Subscription::Attrib. Set Name","Attribut Setname"
"Customweb_Subscription::Author","Autor"
"Customweb_Subscription::Authorization Amount","Autorisierungsbetrag"
"Customweb_Subscription::Authorization Failed","Autorisierung fehlgeschlagen"
"Customweb_Subscription::Authorization Method","Autorisierungsmethode"
"Customweb_Subscription::Authorize next cycle","Nächsten Zyklus autorisieren"
"Customweb_Subscription::Authorized","Autorisiert"
"Customweb_Subscription::Authorized Status","Autorisationsstatus"
"Customweb_Subscription::Awaiting confirmation","Warten auf die Bestätigung"
"Customweb_Subscription::BIC","BIC"
"Customweb_Subscription::Back","Zurück"
"Customweb_Subscription::Back to Subscriptions","Zurück zu den Abos"
"Customweb_Subscription::Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Customweb_Subscription::Bank Location","Bank Standort"
"Customweb_Subscription::Bank Name","Name der Bank"
"Customweb_Subscription::Bank account number","Bankkonto"
"Customweb_Subscription::Bank code number","Bankcodenummer"
"Customweb_Subscription::Bill to Name","Rechnung an"
"Customweb_Subscription::Billing Address","Rechnungsadresse"
"Customweb_Subscription::Billing Amount","Rechnungsbetrag"
"Customweb_Subscription::Billing Frequency","Abrechnungshäufigkeit"
"Customweb_Subscription::Billing Information","Rechnungsinformationen"
"Customweb_Subscription::Billing Period","Abrechnungsperiode"
"Customweb_Subscription::Billing Period Unit","Einheit der Rechnungsperiode"
"Customweb_Subscription::Billing address","Rechnungsadresse"
"Customweb_Subscription::Brand Name","Markenname"
"Customweb_Subscription::By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"Customweb_Subscription::CVC Code","CVC Code"
"Customweb_Subscription::Calculate Price","Preis berechnen"
"Customweb_Subscription::Calculated Price","Berechneter Preis"
"Customweb_Subscription::Can Customer Suspend","Aufschiebbar durch Kunde"
"Customweb_Subscription::Cancel","Stornieren"
"Customweb_Subscription::Cancel ID","Stornierungs ID"
"Customweb_Subscription::Cancel Subscription","Abo kündigen"
"Customweb_Subscription::Cancel status","Stornierungsstatus"
"Customweb_Subscription::Cancelation Email Template","E-Mail-Vorlage für Kündigung"
"Customweb_Subscription::Cancelation Request Email Template","E-Mail-Vorlage für Kündigungs-Anfrage"
"Customweb_Subscription::Cancelation Requested","Kündigung beantragt"
"Customweb_Subscription::Cancelation Requested At","Kündigung angefragt am"
"Customweb_Subscription::Canceled","Storniert"
"Customweb_Subscription::Cancelled Status","Status für abgebrochene Bestellungen"
"Customweb_Subscription::Cannot apply the subscription plan.","Der Abo-Plan kann nicht angewendet werden."
"Customweb_Subscription::Cannot get the subscription instance.","Die Abo-Instanz konnte nicht erreicht werden."
"Customweb_Subscription::Capture","Verbuchung"
"Customweb_Subscription::Capture Amount","Buchungsbetrag"
"Customweb_Subscription::Capture ID","Buchungs ID"
"Customweb_Subscription::Capture amount","Verbuchungsbetrag"
"Customweb_Subscription::Capture status","Verbuchungsstatus"
"Customweb_Subscription::Captured","Verbucht"
"Customweb_Subscription::Captured Amount","Verbuchter Betrag"
"Customweb_Subscription::Captured Status","Verbuchungsstatus"
"Customweb_Subscription::Capturing","Verbuchung"
"Customweb_Subscription::Card Expiration","Kartenablaufdatum"
"Customweb_Subscription::Card Holder Name","Karteninhaber"
"Customweb_Subscription::Card Number","Kartennummer"
"Customweb_Subscription::Cart Subscriptions","Warenkorb Abos"
"Customweb_Subscription::Change","Ändern"
"Customweb_Subscription::Change Subscription","Abo ändern"
"Customweb_Subscription::Change status","Status ändern"
"Customweb_Subscription::Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Customweb_Subscription::Checkout Settings","Zur Kasse Einstellungen"
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your oder.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird."
"Customweb_Subscription::Choose settlement after order in case you want an invoice to be created with your order.","Wählen Sie Zahlung nach der Bestellung aus, wenn Sie eine Rechnung zur Bestellung erstellen wollen."
"Customweb_Subscription::Company Commercial Number","Handelsregisternummer der Firma"
"Customweb_Subscription::Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Customweb_Subscription::Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Customweb_Subscription::Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Customweb_Subscription::Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Customweb_Subscription::Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Customweb_Subscription::Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Customweb_Subscription::Credit Card Brands","Kreditkartenbrand"
"Customweb_Subscription::Currency","Währung"
"Customweb_Subscription::Customer Name","Name des Kunden"
"Customweb_Subscription::Customer name","Name des Kunden"
"Customweb_Subscription::Customer sucessfully returned from the ____ModuleCamel____ payment page.","Der Kunde ist erfolgreich von der ____ModuleCamel____ Payment Page zurückgekehrt."
"Customweb_Subscription::Date","Datum"
"Customweb_Subscription::Date of Birth","Geburtsdatum"
"Customweb_Subscription::Day","Tag"
"Customweb_Subscription::Days Before Due Date","Tage vor Fälligkeit"
"Customweb_Subscription::Deactivate","Deaktivieren"
"Customweb_Subscription::Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Customweb_Subscription::Deferred (authorization)","Verzögert (Autorisierung)"
"Customweb_Subscription::Define a fee or a discount (negative value) that is added to or subtracted from the initial payment.","Legen Sie eine Gebühr oder einen Rabatt fest (negativer Wert), welcher dann der ursprünglichen Zahlung hinzu- oder abgezählt wird."
"Customweb_Subscription::Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Customweb_Subscription::Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Customweb_Subscription::Define if a customer can purchase a subscription as guest.","Geben Sie an, ob Gäste Abos abschliessen können."
"Customweb_Subscription::Define the amount of time relative to the due date after which the invoice has to be paid. This is the period for customers to pay orders that use a payment method that does not support creation of token or in the case of invoice payments. It is also the period for the merchant in case of deferred capturing to capture the payment. Otherwise the payments will fail.","Legen Sie die Dauer relativ zur Frist, bis zu der die Rechnung bezahlt werden soll, fest. In diesem Zeitraum müssen Kunden, die eine Zahlungsmethode benutzen, die Token Creation nicht unterstützt oder die per Rechnung zahlen, die Rechnung begleichen. Innerhalb dieser Frist muss bei verzögerter Buchung auch die Zahlung durch den Händler verbucht werden, ansonsten gilt die Zahlung als fehlgeschlagen."
"Customweb_Subscription::Define the order of the plans in the dropdown.","Legen Sie im Dropdown die Reihenfolge der Pläne fest."
"Customweb_Subscription::Define the sort order of the cart plans in the dropdown.","Legen Sie im Dropdown die Reihenfolge der Pläne fest."
"Customweb_Subscription::Delete","Löschen"
"Customweb_Subscription::Describe the schedule and subscription. The value of this field is used for configurable product options.","Beschreiben Sie den Plan und die Subscription. Diese Eingaben können dann für konfigurierbare Produkt-Optionen benutzt werden."
"Customweb_Subscription::Describe the subscription and schedule. The value of this field is used for configurable product options.","Beschreiben Sie den Plan und die Subscription. Diese Eingaben können dann für konfigurierbare Produkt-Optionen benutzt werden."
"Customweb_Subscription::Describe the subscription cart plan. This value is used on the cart page in the subscription cart plan dropdown and to describe the subscription.","Beschreiben Sie das Warenkorb Abo. Der Wert wird auf der Warenkorb-Seite im Dropdown benutzt um das Abo genau zu beschreiben."
"Customweb_Subscription::Describe the subscription plan. This value is used on the cart page in the subscription plan dropdown and to describe the subscription.","Beschreiben Sie den Abo-Plan. Dieser wird dann auf der Warenkorb Seite im Dropdown für Abo-Pläne angezeigt."
"Customweb_Subscription::Description","Beschreibung die dem Kunden im Checkout angezeigt wird."
"Customweb_Subscription::Diners Club","Diners Club"
"Customweb_Subscription::Direct Debits","Lastschrift"
"Customweb_Subscription::Direct E-Banking","Sofortüberweisung"
"Customweb_Subscription::Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Customweb_Subscription::Discount Amount","Rabattbetrag"
"Customweb_Subscription::Do you really want to cancel this subscription?","Möchten Sie dieses Abo wirklich kündigen?"
"Customweb_Subscription::Do you really want to suspend this subscription?","Möchten Sie dieses Abo wirklich aufschieben?"
"Customweb_Subscription::Don't change order status","Bestellstatus nicht verändern."
"Customweb_Subscription::Edit","Bearbeiten"
"Customweb_Subscription::Email Sender","E-Mail-Absender"
"Customweb_Subscription::Email Settings","E-Mail Einstellungen"
"Customweb_Subscription::Email Template","E-Mail-Vorlage"
"Customweb_Subscription::Enable Agreement","AGB Feld aktivieren"
"Customweb_Subscription::Enable Cart Subscriptions","Warenkorb-Abos erlauben"
"Customweb_Subscription::Enable Subscription","Abo aktivieren"
"Customweb_Subscription::Enable Test Mode","Test-Modus aktivieren"
"Customweb_Subscription::Enable the payment method","Diese Zahlungsmethode aktivieren"
"Customweb_Subscription::Enabled","Aktiviert"
"Customweb_Subscription::Enter a Starting Date (Format: yyyy-mm-dd) to simulate the recurring orders. If the test cron is activated the recurring orders will be simulated starting from the day entered above.","Geben Sie das Start-Datum (Format: jjjj-mm-tt) zum Simulieren der wiederkehrenden Bestellungen ein. Falls der Test-Cron aktiviert ist, so wird dieses Datum verwendet zur Simulation."
"Customweb_Subscription::Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Customweb_Subscription::Enter the number of days this payment attempt should take place before the actual due date of the subscription.","Geben Sie die Anzahl Tage vor Ablauf des Fälligkeitsdatum an, an dem die Zahlung autorisiert werden soll."
"Customweb_Subscription::Enter when this reminder email should be sent before the actual due date of the subscription. This has to be a number.","Geben Sie ein, zu welchem Zeitpunkt vor dem Fälligkeitsdatum die Erinnerungsnachricht versendet werden soll."
"Customweb_Subscription::Equals initial order","Gleich wie die initiale Bestellung"
"Customweb_Subscription::Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"Customweb_Subscription::Excl. Tax","Exkl. Steuern"
"Customweb_Subscription::Expired","Abgelaufen"
"Customweb_Subscription::External Checkout","Externer Checkout"
"Customweb_Subscription::Failed","Fehlgeschlagen"
"Customweb_Subscription::Failed to delete the subscriptions.","Das Abo konnte nicht gelöscht werden."
"Customweb_Subscription::Failed to update the subscription.","Aktualisierung des Abos fehlgeschlagen"
"Customweb_Subscription::Failed to update the subscriptions.","Aktualisierung des Abos fehlgeschlagen"
"Customweb_Subscription::Failure Email Template","E-Mail-Vorlage bei fehlgeschlagener Bestellung"
"Customweb_Subscription::Figure !number:","Abbildung !number:"
"Customweb_Subscription::Fixed Shipping","Fixe Versandkosten"
"Customweb_Subscription::G.T. (Base)","Gesamttotal (Basis)"
"Customweb_Subscription::G.T. (Purchased)","Gesamttotal (gekauft)"
"Customweb_Subscription::General Settings","Basiseinstellungen"
"Customweb_Subscription::Guest Order Email Template","E-Mail-Vorlage für Gast-Bestellung"
"Customweb_Subscription::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an ____paymentServiceProviderName____ übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_Subscription::Hour","Hour"
"Customweb_Subscription::IBAN","IBAN"
"Customweb_Subscription::IBAN number","Bankkonto"
"Customweb_Subscription::ID","ID"
"Customweb_Subscription::If enabled, the customer has to agree to the subscription in the checkout review. In order for this to work, you have to enable Terms and Conditions in the Checkout config tab.","Wenn Sie diese Option aktivieren, so muss den Kunde in der Bestellübersicht dem Abo zustimmen. Damit dies funktioniert, muss unter Zur Kasse die Option Enable Terms and Conditions aktiviert sein."
"Customweb_Subscription::If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"Customweb_Subscription::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"Customweb_Subscription::If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"Customweb_Subscription::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"Customweb_Subscription::Image Brand Selection","Auswahl des Kartenlogos"
"Customweb_Subscription::In Stock","Auf Lager"
"Customweb_Subscription::In case you selected a fixed shipping type, enter the shipping costs above.","Falls Sie einen fixen Versandkostenbetrag gewählt haben, dann geben Sie bitte oben die Versandkosten ein."
"Customweb_Subscription::Inactive","Inaktiv"
"Customweb_Subscription::Incl. Tax","Inkl. Tax"
"Customweb_Subscription::Information","Information"
"Customweb_Subscription::Initial Discount","Initialer Rabatt"
"Customweb_Subscription::Initial Fee","Initial Gebühr"
"Customweb_Subscription::Initial Fee/Discount","Initiale Betrag/Rabatt"
"Customweb_Subscription::Initial Subscription Discount","Initialer Abo-Rabatt"
"Customweb_Subscription::Initial Subscription Fee","Initiale Abo-Gebühr"
"Customweb_Subscription::Invalid parent block for this block.","Ungültiger parent block für diesen block."
"Customweb_Subscription::Invoice Settlement","Verbuchung der Rechnung"
"Customweb_Subscription::Invoice settlement","Rechungserstellung"
"Customweb_Subscription::Is the customer allowed to suspend the subscription?","Ist es dem Kunden erlaubt, das Abo aufzuschieben?"
"Customweb_Subscription::Issue Number","Ausgabekartennummer"
"Customweb_Subscription::Item","Artikel"
"Customweb_Subscription::JCB","JCB"
"Customweb_Subscription::Last Billed","Zuletzt in Rechnung gestellt"
"Customweb_Subscription::Live HMAC Key","Live HMAC Key"
"Customweb_Subscription::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_Subscription::Live Mode","Live Modus"
"Customweb_Subscription::Live Password","Live Passwort"
"Customweb_Subscription::Live Rang (PBX_RANG)","Live Rang"
"Customweb_Subscription::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_Subscription::MasterCard","MasterCard"
"Customweb_Subscription::Maximum Billing Cycles","Maximale Rechnungszyklen"
"Customweb_Subscription::Maximum Order Total","Maximales Bestelltotal"
"Customweb_Subscription::Minimum Order Total","Minimales Bestelltotal"
"Customweb_Subscription::Minute","Minute"
"Customweb_Subscription::Month","Monat"
"Customweb_Subscription::My Subscriptions","Meine Abos"
"Customweb_Subscription::Name","Name"
"Customweb_Subscription::Name in %s","Name in %s"
"Customweb_Subscription::Never","Nie"
"Customweb_Subscription::New Order Status","Neuer Bestellstatus"
"Customweb_Subscription::Next Cycle","Nächster Zyklus"
"Customweb_Subscription::Next Due Date","Nächstes Fälligkeitsdatum"
"Customweb_Subscription::Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"Customweb_Subscription::No","Nein"
"Customweb_Subscription::No Invoice Settlement","Keine Rechnungsanlegung"
"Customweb_Subscription::No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"Customweb_Subscription::No information available.","Keine Informationen verfügbar."
"Customweb_Subscription::No reminders are configured.","Es wurden keine Erinnerungen konfiguriert."
"Customweb_Subscription::No, use the dropdown.","Dropdown-Menü benutzen"
"Customweb_Subscription::None","Keine"
"Customweb_Subscription::Not all products are available in the requested quantity.","Es sind nicht alle Produkte in der gewünschten Menge verfügbar."
"Customweb_Subscription::Not initialized","Nicht initialisiert"
"Customweb_Subscription::Notify Low Stock RSS","RSS Benachrichtigung bei niedrigem Lagerbestand"
"Customweb_Subscription::Number of billing periods that make up one billing cycle.","Anzahl Rechnungsperioden, welche einen Zyklus darstellen."
"Customweb_Subscription::One or more errors occured when processing scheduled jobs.","Bei der Durchführung ist mindestens ein Fehler aufgetreten."
"Customweb_Subscription::Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_Subscription::Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_Subscription::Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Customweb_Subscription::Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Customweb_Subscription::Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Customweb_Subscription::Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Customweb_Subscription::Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Customweb_Subscription::Operation Mode","Betriebsmodus"
"Customweb_Subscription::Order #","Bestellnummer"
"Customweb_Subscription::Order Email Template","E-Mail-Vorlage für Bestellung"
"Customweb_Subscription::Order Prefix","Bestell-Präfix"
"Customweb_Subscription::Order Status","Bestellstatus"
"Customweb_Subscription::Order Total","Bestelltotal"
"Customweb_Subscription::Orders Based on This Subscription","Bestellungen basierend auf diesem Abonnement"
"Customweb_Subscription::Paid","Bezahlt"
"Customweb_Subscription::Pay","Zahlen"
"Customweb_Subscription::Payment Attempts","Zahlungsversuche"
"Customweb_Subscription::Payment ID","Zahlungs-ID"
"Customweb_Subscription::Payment Method","Zahlungsmethode"
"Customweb_Subscription::Payment Methods","Zahlungsmethode"
"Customweb_Subscription::Payment Term","Zahlungsbedingungen"
"Customweb_Subscription::Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Customweb_Subscription::Payment from specific countries","Zahlung von spezifischen Ländern"
"Customweb_Subscription::Payments","Zahlungen"
"Customweb_Subscription::Payments Made","Ausgeführte Zahlungen"
"Customweb_Subscription::Pending","Ausstehend"
"Customweb_Subscription::Pending Email Template","E-Mail Template 'Ausstehende Bestellung'"
"Customweb_Subscription::Period Of Notice","Kündigungsfrist"
"Customweb_Subscription::Period of Notice","Kündigungsfrist"
"Customweb_Subscription::Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Customweb_Subscription::Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Customweb_Subscription::Please define at least one payment attempt.","Es muss mindestens ein Zahlungsversuch eingegeben werden."
"Customweb_Subscription::Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Customweb_Subscription::Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Customweb_Subscription::Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_Subscription::Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Customweb_Subscription::Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Customweb_Subscription::Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_Subscription::Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Customweb_Subscription::Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Customweb_Subscription::Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_Subscription::Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_Subscription::Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Customweb_Subscription::Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_Subscription::Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_Subscription::Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_Subscription::Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Customweb_Subscription::Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Customweb_Subscription::Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Customweb_Subscription::Please select","-- Bitte wählen --"
"Customweb_Subscription::Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Customweb_Subscription::Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Customweb_Subscription::Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Customweb_Subscription::Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Customweb_Subscription::Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Customweb_Subscription::Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Customweb_Subscription::Price","Preis"
"Customweb_Subscription::Product","Produkt"
"Customweb_Subscription::Product Filter","Produkt-Filter"
"Customweb_Subscription::Product Name","Produktname"
"Customweb_Subscription::Purchased From (Store)","Gekauft bei (Store)"
"Customweb_Subscription::Purchased Item","Gekaufter Artikel"
"Customweb_Subscription::Purchased Items","Gekaufte Artikel"
"Customweb_Subscription::Purchased On","Gekauft am"
"Customweb_Subscription::Qty","Anzahl"
"Customweb_Subscription::Recurring Guest Order Email Template","Wiederkehrende Gast Emailbestellungsvorlage"
"Customweb_Subscription::Recurring Order Email Template","Wiederkehrende Bestellungs Emailvorlage"
"Customweb_Subscription::Reference Id","Referenz ID"
"Customweb_Subscription::Refund Amount","Rückerstattungsbetrag"
"Customweb_Subscription::Refund ID","Rückvergütungs ID"
"Customweb_Subscription::Refund amount","Rückerstattungsbetrag"
"Customweb_Subscription::Refund status","Gutschriftsstatus"
"Customweb_Subscription::Refunded Amount","Rückerstattungsbetrag"
