"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::Refunded Amount","Importo accreditato"
"Customweb_Subscription::Related Orders","Oordini correlati"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","Email promemoria"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Ripete %s volta(e), dopo la richiesta di cancellazione."
"Customweb_Subscription::Repeats %s time(s).","Ripete %s volta(e)."
"Customweb_Subscription::Repeats until canceled.","Ripete fino all'annullamento."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustment"
"Customweb_Subscription::Row Total","Totale della linea"
"Customweb_Subscription::Run Test Cron","Eseguire test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Vendite"
"Customweb_Subscription::Sales Tax Number","Numero Sales Tax"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Carte di credito memorizzati:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Informazioni sul piano"
"Customweb_Subscription::Select Brand","Seleziona Marca"
"Customweb_Subscription::Select a subscription plan:","Si prega di selezionare un piano di abbonamento:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Selezionare il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Customweb_Subscription::Select the date of your birth.","Selezionare la data di nascita."
"Customweb_Subscription::Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Select the payment methods that are allowed to be used for subscriptions."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Selezionare i prodotti che non possono essere utilizzati in abbonamenti."
"Customweb_Subscription::Select the unit for the number in the previous field.","Selezionare l'unità per il numero nel campo precedente."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Selezionare il modello di e-mail deve essere inviato come promemoria. È possibile modificare i modelli stessi sotto System > Transactional Emails."
"Customweb_Subscription::Send Invoice Email","Inviare una fattura email"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Fattura per la sottoscrizione"
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Impostare il testo della casella di contratto di abbonamento nella revisione checkout."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Imposta il titolo della casella contratto di abbonamento nella revisione checkout."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Impostare a sì, se l'email fattura deve essere inviata automaticamente dopo regolamento."
"Customweb_Subscription::Settlement after Order","Settlement dopo l'ordine"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Invia a nome"
"Customweb_Subscription::Shipping","Spedizione"
"Customweb_Subscription::Shipping Address","Indirizzo di spedizione"
"Customweb_Subscription::Shipping Amount","Costi di spedizione"
"Customweb_Subscription::Shipping Amount Type","Tipo di costi di spedizione"
"Customweb_Subscription::Simulate Cron","Simulare Cron"
"Customweb_Subscription::Sku","Sku"
"Customweb_Subscription::Social Security Number","Social Security Number"
"Customweb_Subscription::Sort Order","Ordine"
"Customweb_Subscription::Start Date","Data di inizio"
"Customweb_Subscription::Started At","Iniziato il"
"Customweb_Subscription::Starting Date","Data di partenza"
"Customweb_Subscription::Status","Stato"
"Customweb_Subscription::Store","Negozio"
"Customweb_Subscription::Subscribe now!","Abbonati ora!"
"Customweb_Subscription::Subscriber","Abbonato"
"Customweb_Subscription::Subscription","Abbonamento"
"Customweb_Subscription::Subscription # %s","Abbonamento # %s"
"Customweb_Subscription::Subscription # %s | %s","Abbonamento # %s | %s"
"Customweb_Subscription::Subscription Cancelation Email","Subscription Cancelation Email"
"Customweb_Subscription::Subscription Cancelation Request Email","E-mail per la richiesta di sottoscrizione di cancellazione"
"Customweb_Subscription::Subscription End","Fine del abonnamento"
"Customweb_Subscription::Subscription Failure Email","E-mail per sottoscrizione non riuscito"
"Customweb_Subscription::Subscription Guest Order Email","Email di un abbonamento ospite"
"Customweb_Subscription::Subscription Information","Informazioni di iscrizione"
"Customweb_Subscription::Subscription Invoice","Fattura abbonamento"
"Customweb_Subscription::Subscription Order Email","Email per un ordinazione di sottoscrizione"
"Customweb_Subscription::Subscription Pending Email","Email di abbonamento in attesa"
"Customweb_Subscription::Subscription Plans","Piani di abbonamento"
"Customweb_Subscription::Subscription Prepayment","Pagamento anticipato della sottoscrizione"
"Customweb_Subscription::Subscription Recurring Guest Order Email","Subscription Recurring Guest Order Email"
"Customweb_Subscription::Subscription Recurring Order Email","Subscription Recurring Order Email"
"Customweb_Subscription::Subscription Reminder Email","E-mail di promemoria per la sottoscrizione"
"Customweb_Subscription::Subscription Update Email","Email per un abbonamento di aggiornamento"
"Customweb_Subscription::Subscription View","Mostra abonnamento"
"Customweb_Subscription::Subscriptions","Abbonamenti"
"Customweb_Subscription::Subscriptions can be purchased standalone only. To proceed please remove other items from the quote.","Le sottoscrizioni possono essere acquistati solo 'standalone'. Per procedere, per favore rimuovere altri prodotti dal carrello."
"Customweb_Subscription::Subtotal","Subtotale"
"Customweb_Subscription::Success","Successo"
"Customweb_Subscription::Successful","Di successo"
"Customweb_Subscription::Support","Support"
"Customweb_Subscription::Suspend","Sospendere"
"Customweb_Subscription::Suspend on Pending Payment","Suspend on Pending Payment"
"Customweb_Subscription::Suspended","Sospeso"
"Customweb_Subscription::Tax","Tassa"
"Customweb_Subscription::Tax Amount","Imposta importo"
"Customweb_Subscription::Test Mode","Modalità di test"
"Customweb_Subscription::Test Transaction","Test Transaction"
"Customweb_Subscription::The Cancelation Email Template will be sent to inform the customer after has canceled a subscription.","The Cancelation Email Template will be sent to inform the customer after has canceled a subscription."
"Customweb_Subscription::The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription.","Il modello di email per la richiesta di cancellazione sarà inviato per informare il cliente dopo ha chiesto la cancellazione di un abbonamento."
"Customweb_Subscription::The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend.","Il modello di email in caso di guasto sarà inviata ad informare il cliente dopo che il pagamento non è riuscita a scadenza. L'abbonamento sarà in attesa e può essere riattivata solo nel backend."
"Customweb_Subscription::The Guest Order Email Template will replace the default email template that is sent to the guest customer after placing an order. It will include information about the subscription.","Il modello di email per ordine ospitesostituirà il modello e-mail predefinito che viene inviato al cliente ospite dopo avere ordinato. Esso comprenderà informazioni sulla sottoscrizione."
"Customweb_Subscription::The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_Subscription::The Order Email Template will replace the default email template that is sent to the customer after placing an order. It will include information about the subscription.","Il modello di email per gli ordinazione andrà a sostituire il modello e-mail predefinito che viene inviata al cliente dopo aver piazzato un ordine. Esso comprenderà informazioni sulla sottoscrizione."
"Customweb_Subscription::The Pending Email will be sent to notify a customer that his payment is due. The template contains a payment link that allows your customer to pay for the next cycle. You can edit the templates yourself under System > Transactional Emails.","Questo indirizzo e-mail verrà inviata per notificare un cliente che il suo pagamento è dovuto. Il modello contiene un link di pagamento che permette al cliente di pagare per il ciclo successivo. Il modello può essere modificato in System > Transactional Emails."
"Customweb_Subscription::The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription.","The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription.","The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag'. È necessario questo tag."
"Customweb_Subscription::The Update Email Template will be sent whenever the payment authorization fails due to various reasons. It tells the customer to update his payment information by clicking on the provided payment link.","Questa email viene inviata ogni volta l'autorizzazione al pagamento fallisce. Racconta al cliente di aggiornare le sue informazioni di pagamento cliccando sul link fornito."
"Customweb_Subscription::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_Subscription::The amount could not be verified.","The amount could not be verified."
"Customweb_Subscription::The amount of !amount is authorized.","La quantità di !amount è autorizzato."
"Customweb_Subscription::The amount of !amount is captured.","La quantità di X viene catturato."
"Customweb_Subscription::The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non è supportato."
"Customweb_Subscription::The authorization was not successful","The authorization was not successful"
"Customweb_Subscription::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_Subscription::The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"Customweb_Subscription::The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non è stata trovata nella mappa dati della carta."
"Customweb_Subscription::The cancelation request has been received.","La richiesta di annullamento è stata ricevuta."
"Customweb_Subscription::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_Subscription::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità di cattura (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"Customweb_Subscription::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_Subscription::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_Subscription::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_Subscription::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_Subscription::The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"Customweb_Subscription::The given card number has an invalid check sum.","Il numero dato carta ha un checksum non valido."
"Customweb_Subscription::The given card number has an invalid length.","Il numero dato carta ha una lunghezza non valida."
"Customweb_Subscription::The given hmac key is empty.","The given hmac key is empty."
"Customweb_Subscription::The given identifier is empty.","The given identifier is empty."
"Customweb_Subscription::The given password is empty.","The given password is empty."
"Customweb_Subscription::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_Subscription::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_Subscription::The given site number is empty.","The given site number is empty."
"Customweb_Subscription::The identifier as defined in the backoffice of ____paymentServiceProviderName____.","The identifier as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The layout does not contain the tag '!layout_tag'.","Il layout non contiene il tag '!layout_tag'."
"Customweb_Subscription::The link is invalid or outdated.","Il collegamento non è valido o non aggiornati."
"Customweb_Subscription::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_Subscription::The number of billing cycles the subscription will keep running after the cancelation is requested.","È stato richiesto il numero di cicli di fatturazione sottoscrizione continuerà a correre dopo la cancellazione."
"Customweb_Subscription::The order has been captured.","L'ordine è stato contabilizzato."
"Customweb_Subscription::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_Subscription::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_Subscription::The payment has been accepted.","Il pagamento è stato accettato."
"Customweb_Subscription::The payment has failed.","Il pagamento non è riuscito."
"Customweb_Subscription::The payment method !paymentMethodName does not support the currency '!currency'.","l metodo di pagamento !paymentMethodName non supporta la moneta '!currency'."
"Customweb_Subscription::The payment method !paymentMethodName is not available in your country ('!country').","Il metodo di pagamento !paymentMethodName non è disponibile nel tuo paese ('!country')."
"Customweb_Subscription::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_Subscription::The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_Subscription::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_Subscription::The signature could not be verified.","The signature could not be verified."
"Customweb_Subscription::The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____.","The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The subscription cannot be authorized.","L'abbonamento non può essere autorizzato."
"Customweb_Subscription::The subscription has been canceled.","L'abbonamento è stato annullato."
"Customweb_Subscription::The subscription plan was removed.","Il piano di abbonamento è stato rimosso."
"Customweb_Subscription::The subscription status has been updated.","Lo stato della sottoscrizione è stato aggiornato."
"Customweb_Subscription::The subscriptions ends automatically after the above entered number of billing cycles.","Gli abbonamenti si conclude automaticamente una volta che il numero di cicli di fatturazione è passato."
"Customweb_Subscription::The subscriptions have been deleted.","Gli abbonamenti sono stati cancellati."
"Customweb_Subscription::The subscriptions' statuses have been updated.","Gli stati di sottoscrizione sono state aggiornate."
"Customweb_Subscription::The test cron runs every minute, always increasing the date by one day.","Il cron test viene eseguito ogni minuto, aumentando sempre la data di un giorno."
"Customweb_Subscription::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","L'importo di rimborso totale (!totalRefundedAmount) non può essere superiore all'importo catturato (!capturedAmount)."
"Customweb_Subscription::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_Subscription::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_Subscription::The whole transaction is cancelled.","L'intera operazione è stata annullata."
"Customweb_Subscription::There are %s failed subscriptions.","Ci sono %s abbonamenti falliti."
"Customweb_Subscription::There are no applicable payment methods.","Non ci sono metodi di pagamento applicabili."
"Customweb_Subscription::There are no orders yet.","There are no orders yet."
"Customweb_Subscription::There are no subscription cart plans.","Non ci sono piani carrello abbonamento."
"Customweb_Subscription::There are no subscription plans.","Non ci sono piani di abbonamento."
"Customweb_Subscription::There are no subscriptions yet.","There are no subscriptions yet."
"Customweb_Subscription::There are outdated subscriptions. Please update immediately.","Ci sono abbonamenti obsoleti. Si prega di aggiornare immediatamente."
"Customweb_Subscription::There is a failed subscription.","C'è un abbonamento fallito."
"Customweb_Subscription::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account."
"Customweb_Subscription::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_Subscription::This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"Customweb_Subscription::This subscription no longer exists.","Questo abbonamento non esiste più."
"Customweb_Subscription::This subscription status cannot be changed from <em>%s</em> to <em>%s</em>.","Questo stato di abbonamento non può essere modificato da <em>%s</em> a <em>%s</em>."
"Customweb_Subscription::This transaction is already closed for further captures.","Questa transazione è stata chiusa e senza ulteriori inserimenti sono."
"Customweb_Subscription::This transaction is already closed for further refunds.","Questa transazione è stata chiusa per più crediti."
"Customweb_Subscription::Time Before Due Date","Tempo prima della scadenza"
"Customweb_Subscription::Time Unit","Unità di tempo"
"Customweb_Subscription::Titel","Titel"
"Customweb_Subscription::Title of the payment method","Title of the payment method"
"Customweb_Subscription::Total","Totale"
"Customweb_Subscription::Total Recurring Amount","Importo totale di pagamentos ricorrente"
"Customweb_Subscription::Transaction Authorized","Operazione autorizzata"
"Customweb_Subscription::Transaction Cancelled","Transazione annullata"
"Customweb_Subscription::Transaction Captured","Transazione contabilizzato"
"Customweb_Subscription::Transaction Paid","Operazione è stata pagata"
"Customweb_Subscription::Transaction Uncertain","Transazione è incerto"
"Customweb_Subscription::Transaction Updates","Transaction Updates"
"Customweb_Subscription::Type","Tipo"
"Customweb_Subscription::Uncertain Status","Uncertain Status"
"Customweb_Subscription::Unit for billing during the subscription period.","Unità per la fatturazione durante il periodo di sottoscrizione."
"Customweb_Subscription::Update","Aggiornare"
"Customweb_Subscription::Update Attributes","Aggiornare gli attributi"
"Customweb_Subscription::Update Email Template","Modello di e-mail 'aggiornare'"
"Customweb_Subscription::Use Default","Use Default"
"Customweb_Subscription::VISA","VISA"
"Customweb_Subscription::Version","version"
"Customweb_Subscription::View","Vista"
"Customweb_Subscription::View list","Mostra la lista"
"Customweb_Subscription::Visibility","Visibilità"
"Customweb_Subscription::Websites","Siti web"
"Customweb_Subscription::Week","Settimana"
"Customweb_Subscription::When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_Subscription::Whether to use a fixed shipping amount or calculate it dynamically.","Vuoi utilizzare 'le spese di spedizione fisso' o calcolare la tassa in modo dinamico."
"Customweb_Subscription::Would you like to allow customers to create a subscription of their whole cart?","Vuoi per consentire ai clienti di creare una sottoscrizione di tutta la loro spesa?"
"Customweb_Subscription::Would you like to purchase this cart as a subscription?","Volete acquistare questo carrello come un abbonamento?"
"Customweb_Subscription::Year","Anno"
"Customweb_Subscription::Yes","Sì"
"Customweb_Subscription::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_Subscription::You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_Subscription::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the backend."
"Customweb_Subscription::You can specify the order status when an order is cancelled.","You can specify the order status when an order is cancelled."
"Customweb_Subscription::You cannot access this subscription.","Non è possibile accedere a questa sottoscrizione."
"Customweb_Subscription::You do not define any plan for this subscription.","You do not define any plan for this subscription."
"Customweb_Subscription::You have to enter a card number.","È necessario inserire un numero di carta."
"Customweb_Subscription::You have to enter bank code of your bank.","È necessario immettere il codice banca"
"Customweb_Subscription::You have to enter commercial number of you company.","È necessario inserire il numero di imprese di compagnia."
"Customweb_Subscription::You have to enter either the CVC code or the issue number of your card.","È necessario immettere il codice CVC o il numero di emissione della carta."
"Customweb_Subscription::You have to enter sales tax number of you company.","È necessario inserire il numero di imposta sulle vendite di compagnia."
"Customweb_Subscription::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_Subscription::You have to enter the BIC.","È necessario inserire il BIC."
"Customweb_Subscription::You have to enter the CVC code from your card.","È necessario immettere il CVC vostra carta."
"Customweb_Subscription::You have to enter the IBAN.","È necessario immettere il codice IBAN."
"Customweb_Subscription::You have to enter the account holder name on the card.","È necessario immettere il nome del titolare del conto sulla carta."
"Customweb_Subscription::You have to enter the account holder name.","È necessario immettere il nome del titolare del conto."
"Customweb_Subscription::You have to enter the card holder name on the card.","È necessario immettere il titolare della carta"
"Customweb_Subscription::You have to enter the location of your bank.","È necessario inserire la posizione della vostra banca."
"Customweb_Subscription::You have to enter the name of the account owner.","È necessario immettere il titolare del conto."
"Customweb_Subscription::You have to enter the name of your bank.","È necessario inserire il nome della vostra banca."
"Customweb_Subscription::You have to enter your IBAN Number.","Devi inserire il tuo numero IBAN."
"Customweb_Subscription::You have to enter your bank account number.","È necessario immettere il numero di conto del tuo conto bancario."
"Customweb_Subscription::You have to enter your social security number.","È necessario inserire il numero di sicurezza sociale."
"Customweb_Subscription::You may choose one of the cards you paid before on this site.","Si può scegliere tra una delle carte con cui avete pagato prima su questo sito."
"Customweb_Subscription::You selected this subscription plan:","Hai scelto questo piano di abbonamento:"
"Customweb_Subscription::You subscribed to the plan <em>%s</em>.","Lei ha sottoscritto il piano <em>%s</em>."
"Customweb_Subscription::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Customweb_Subscription::customweb ltd","customweb ltd"
"Customweb_Subscription::no","no"
"Customweb_Subscription::yes","yes"
