"Customweb_Subscription::%s %s cycle","%s %s cyclus"
"Customweb_Subscription::Release Date","Release Date"
"Customweb_Subscription::Reminder Emails","e-mail herinnering"
"Customweb_Subscription::Repeats %s time(s) after cancelation request.","Herhaalt %s keer na de annulering verzoek."
"Customweb_Subscription::Repeats %s time(s).","Herhaalt %s keer."
"Customweb_Subscription::Repeats until canceled.","Herhaald totdat geannuleerd."
"Customweb_Subscription::Rounding Adjustment","Rounding Adjustment"
"Customweb_Subscription::Row Total","Totaal van de lijn"
"Customweb_Subscription::Run Test Cron","Voer de test Cron"
"Customweb_Subscription::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_Subscription::SKU","SKU"
"Customweb_Subscription::Sales","Sales"
"Customweb_Subscription::Sales Tax Number","Sales Tax nummer"
"Customweb_Subscription::Save","Save"
"Customweb_Subscription::Saved cards:","Opgeslagen creditcards:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Plan informatie"
"Customweb_Subscription::Select Brand","Kies een Merk"
"Customweb_Subscription::Select a subscription plan:","Selecteer een abonnement plan:"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Selecteer de Autorisatie Methode voor deze betaalmethode."
"Customweb_Subscription::Select the date of your birth.","Kies de datum van uw geboorte."
"Customweb_Subscription::Select the date on which your card expires.","Selecteer de datum waarop uw kaart verloopt."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Selecteer de betaalmethoden die mogen worden gebruikt voor abonnementen."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Selecteer de producten die niet kunnen worden gebruikt voor abonnementen."
"Customweb_Subscription::Select the unit for the number in the previous field.","Selecteer de eenheid voor de waarde in het vorige veld."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Selecteer welke e-sjabloon als herinnering dienen te worden gezonden. U kunt de sjablonen zelf bewerken onder System > Transactional Emails."
"Customweb_Subscription::Send Invoice Email","Factuur verzenden E-mail"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Stel de checkbox tekst van de doos abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set the sort order to show the external checkouts.","Set the sort order to show the external checkouts."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Stel de tekst van de doos abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Zet de titel van het vak abonnement overeenkomst in de kassa beoordeling."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Set to no, if the subscription should keep running even when a payment is pending."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Indien de factuur e-mail automatisch na verrekening dient te worden gezonden ingesteld op yes,."
"Customweb_Subscription::Settlement after Order","Schikking na de bestelling"
"Customweb_Subscription::Settlement after order","Settlement after order"
"Customweb_Subscription::Ship to Name","Verzenden naar naam"
"Customweb_Subscription::Shipping","Scheepvaart"
"Customweb_Subscription::Shipping Address","Afleveradres"
"Customweb_Subscription::Shipping Amount","Verzendkosten"
"Customweb_Subscription::Shipping Amount Type","Soort verzendkosten"
"Customweb_Subscription::Simulate Cron","Cron Simuleren"
"Customweb_Subscription::Sku","Sku"
"Customweb_Subscription::Social Security Number","Social Security Number"
"Customweb_Subscription::Sort Order","Orde"
"Customweb_Subscription::Start Date","Startdatum"
"Customweb_Subscription::Started At","Begon op"
"Customweb_Subscription::Starting Date","Startdatum"
"Customweb_Subscription::Status","Status"
"Customweb_Subscription::Store","Winkel"
"Customweb_Subscription::Subscribe now!","Abonneer nu!"
"Customweb_Subscription::Subscriber","Abonnee"
"Customweb_Subscription::Subscription","Subscription"
"Customweb_Subscription::Subscription # %s","Abonnement # %s"
"Customweb_Subscription::Subscription # %s | %s","Abonnement # %s | %s"
"Customweb_Subscription::Subscription Cancelation Email","Subscription Cancelation Email"
"Customweb_Subscription::Subscription Cancelation Request Email","Abonnement verzoek tot annulering Email"
"Customweb_Subscription::Subscription End","Einde van het abonnement"
"Customweb_Subscription::Subscription Failure Email","Abonnement Failure Email"
"Customweb_Subscription::Subscription Guest Order Email","Abonnement Gast Bestel E-mail"
"Customweb_Subscription::Subscription Information","Abonnementsgegevens"
"Customweb_Subscription::Subscription Invoice","Abonnement factuur"
"Customweb_Subscription::Subscription Order Email","Abonnement Bestel E-mail"
"Customweb_Subscription::Subscription Pending Email","Abonnement afwachting Email"
"Customweb_Subscription::Subscription Plans","Abonnementen"
"Customweb_Subscription::Subscription Prepayment","Abonnement Vooruitbetaling"
"Customweb_Subscription::Subscription Recurring Guest Order Email","Subscription Recurring Guest Order Email"
"Customweb_Subscription::Subscription Recurring Order Email","Subscription Recurring Order Email"
"Customweb_Subscription::Subscription Reminder Email","Reminder e-mail voor inschrijving"
"Customweb_Subscription::Subscription Update Email","Abonnement beheren E-mail"
"Customweb_Subscription::Subscription View","Abonnementsweergave"
"Customweb_Subscription::Subscriptions","Abonnementen"
"Customweb_Subscription::Subscriptions can be purchased standalone only. To proceed please remove other items from the quote.","Abonnementen kunnen alleen worden gekocht 'standalone'. Om verder te gaan verwijderen andere items uit de kar."
"Customweb_Subscription::Subtotal","Subtotaal"
"Customweb_Subscription::Success","Succes"
"Customweb_Subscription::Successful","Met goed gevolg"
"Customweb_Subscription::Support","Support"
"Customweb_Subscription::Suspend","Opschorten"
"Customweb_Subscription::Suspend on Pending Payment","Suspend on Pending Payment"
"Customweb_Subscription::Suspended","Hangend"
"Customweb_Subscription::Tax","Belasting"
"Customweb_Subscription::Tax Amount","Belastingbedrag"
"Customweb_Subscription::Test Mode","Test Mode"
"Customweb_Subscription::Test Transaction","Test Transaction"
"Customweb_Subscription::The Cancelation Email Template will be sent to inform the customer after has canceled a subscription.","The Cancelation Email Template will be sent to inform the customer after has canceled a subscription."
"Customweb_Subscription::The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription.","E-mail template voor de annulering verzoek wordt verzonden naar de klant te informeren na de annulering van een abonnement heeft aangevraagd."
"Customweb_Subscription::The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend.","Mislukking Email Template wordt verzonden naar de klant te informeren na de betaling op de vervaldag is mislukt. Het abonnement zal in de wacht en kan alleen worden geactiveerd in de backend."
"Customweb_Subscription::The Guest Order Email Template will replace the default email template that is sent to the guest customer after placing an order. It will include information about the subscription.","De gast Bestel E-mail template wordt de standaard e template dat na het plaatsen van een bestelling aan de gast klant wordt gestuurd vervangen. Het zal onder meer informatie over het abonnement."
"Customweb_Subscription::The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_Subscription::The Order Email Template will replace the default email template that is sent to the customer after placing an order. It will include information about the subscription.","De bestelling mail template wordt de standaard e template dat na het plaatsen van een bestelling naar de klant wordt gestuurd vervangen. Het zal onder meer informatie over het abonnement."
"Customweb_Subscription::The Pending Email will be sent to notify a customer that his payment is due. The template contains a payment link that allows your customer to pay for the next cycle. You can edit the templates yourself under System > Transactional Emails.","Deze e-mail wordt verstuurd aan een klant dat zijn betaling verschuldigd is in kennis. De sjabloon bevat een betaling koppeling die het mogelijk maakt uw klanten om te betalen voor de volgende cyclus. De sjabloon kan worden gewijzigd onder System > Transactional Emails."
"Customweb_Subscription::The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription.","The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription.","The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","De SEPA-machtiging schema niet de tag 'tag!' Bevatten. Deze tag is nodig."
"Customweb_Subscription::The Update Email Template will be sent whenever the payment authorization fails due to various reasons. It tells the customer to update his payment information by clicking on the provided payment link.","Deze e-mail wordt verstuurd zodra de betaling toestemming mislukt. Het vertelt de klant aan zijn betalingsverplichtingen informatie bijwerken door te klikken op de meegeleverde betaling link."
"Customweb_Subscription::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_Subscription::The amount could not be verified.","The amount could not be verified."
"Customweb_Subscription::The amount of !amount is authorized.","Het bedrag van !amount is toegestaan."
"Customweb_Subscription::The amount of !amount is captured.","De hoeveelheid !amount wordt opgevangen."
"Customweb_Subscription::The authorization method '!method' is not supported.","De methode vergunning '!method' wordt niet ondersteund."
"Customweb_Subscription::The authorization was not successful","The authorization was not successful"
"Customweb_Subscription::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_Subscription::The brand with external name '!key' was not present in the map.","Het merk met externe naam  '!key' was niet in de kaart."
"Customweb_Subscription::The brand with key '!key' was not found in the card information map.","Het merk met de belangrijkste !key'  werd niet gevonden in de kaartinformatie kaart."
"Customweb_Subscription::The cancelation request has been received.","Het verzoek tot annulering is ontvangen."
"Customweb_Subscription::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_Subscription::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","De vangst bedrag (!captureAmount) kan niet hoger zijn dan het toegestane bedrag (!authorizedAmount)."
"Customweb_Subscription::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_Subscription::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_Subscription::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_Subscription::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_Subscription::The given CVC code has the wrong length.","De gegeven CVC-code heeft de verkeerde lengte."
"Customweb_Subscription::The given card number has an invalid check sum.","Het opgegeven kaartnummer heeft een ongeldige checksum."
"Customweb_Subscription::The given card number has an invalid length.","Het opgegeven kaartnummer heeft een ongeldige lengte."
"Customweb_Subscription::The given hmac key is empty.","The given hmac key is empty."
"Customweb_Subscription::The given identifier is empty.","The given identifier is empty."
"Customweb_Subscription::The given password is empty.","The given password is empty."
"Customweb_Subscription::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_Subscription::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_Subscription::The given site number is empty.","The given site number is empty."
"Customweb_Subscription::The identifier as defined in the backoffice of ____paymentServiceProviderName____.","The identifier as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The layout does not contain the tag '!layout_tag'.","De lay-out is niet de tag '!layout_tag' bevatten."
"Customweb_Subscription::The link is invalid or outdated.","De link is ongeldig of verouderd."
"Customweb_Subscription::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_Subscription::The number of billing cycles the subscription will keep running after the cancelation is requested.","Het aantal facturatieproces het abonnement zal blijven draaien nadat de annulering werd gevraagd."
"Customweb_Subscription::The order has been captured.","De order is gedebiteerd."
"Customweb_Subscription::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_Subscription::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_Subscription::The payment has been accepted.","De betaling is geaccepteerd."
"Customweb_Subscription::The payment has failed.","De betaling is mislukt."
"Customweb_Subscription::The payment method !paymentMethodName does not support the currency '!currency'.","De betaalmethode !paymentMethodName ondersteunt niet de munt '!currency'."
"Customweb_Subscription::The payment method !paymentMethodName is not available in your country ('!country').","De betaalmethode !paymentMethodName is niet beschikbaar in uw land ('!country')."
"Customweb_Subscription::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_Subscription::The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_Subscription::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_Subscription::The signature could not be verified.","The signature could not be verified."
"Customweb_Subscription::The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____.","The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The subscription cannot be authorized.","Het abonnement kan niet worden toegestaan."
"Customweb_Subscription::The subscription has been canceled.","Het abonnement is geannuleerd."
"Customweb_Subscription::The subscription plan was removed.","Het abonnement plan is verwijderd."
"Customweb_Subscription::The subscription status has been updated.","De abonnementstatus is bijgewerkt."
"Customweb_Subscription::The subscriptions ends automatically after the above entered number of billing cycles.","De abonnementen automatisch beëindigd zodra het opgegeven aantal factureringscycli is verstreken."
"Customweb_Subscription::The subscriptions have been deleted.","De abonnementen zijn verwijderd."
"Customweb_Subscription::The subscriptions' statuses have been updated.","Het abonnement statussen zijn bijgewerkt."
"Customweb_Subscription::The test cron runs every minute, always increasing the date by one day.","De test cron loopt elke minuut, altijd het verhogen van de datum met een dag."
"Customweb_Subscription::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Het totaal terug te betalen bedrag kan niet hoger zijn dan de vastgelegde bedrag"
"Customweb_Subscription::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_Subscription::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_Subscription::The whole transaction is cancelled.","De gehele transactie is geannuleerd."
"Customweb_Subscription::There are %s failed subscriptions.","Er zijn %s mislukt abonnementen."
"Customweb_Subscription::There are no applicable payment methods.","Er zijn geen toepasbare betaalmethodes."
"Customweb_Subscription::There are no orders yet.","There are no orders yet."
"Customweb_Subscription::There are no subscription cart plans.","Er zijn geen abonnementskosten winkelwagen plannen."
"Customweb_Subscription::There are no subscription plans.","Er zijn geen abonnementen plan."
"Customweb_Subscription::There are no subscriptions yet.","There are no subscriptions yet."
"Customweb_Subscription::There are outdated subscriptions. Please update immediately.","Er zijn verouderd abonnementen. Neem dan onmiddellijk bij te werken."
"Customweb_Subscription::There is a failed subscription.","Er is een mislukte abonnement."
"Customweb_Subscription::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account."
"Customweb_Subscription::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_Subscription::This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"Customweb_Subscription::This subscription no longer exists.","Dit abonnement bestaat niet meer."
"Customweb_Subscription::This subscription status cannot be changed from <em>%s</em> to <em>%s</em>.","Dit abonnement status kan niet worden gewijzigd van <em>%s</em> naar <em>%s</em>."
"Customweb_Subscription::This transaction is already closed for further captures.","Deze transactie is gesloten en geen verdere gegevens worden gemaakt."
"Customweb_Subscription::This transaction is already closed for further refunds.","Deze transactie werd gesloten voor meer credits."
"Customweb_Subscription::Time Before Due Date","Tijd vóór de vervaldag"
"Customweb_Subscription::Time Unit","Tijdseenheid"
"Customweb_Subscription::Titel","Titel"
"Customweb_Subscription::Title of the payment method","Title of the payment method"
"Customweb_Subscription::Total","Totaal"
"Customweb_Subscription::Total Recurring Amount","Totaal terugkerende Bedrag"
"Customweb_Subscription::Transaction Authorized","Geautoriseerde transactie"
"Customweb_Subscription::Transaction Cancelled","Transactie geannuleerd"
"Customweb_Subscription::Transaction Captured","Transactie opgenomen"
"Customweb_Subscription::Transaction Paid","Transactie betaald"
"Customweb_Subscription::Transaction Uncertain","Transactie is onzeker"
"Customweb_Subscription::Transaction Updates","Transaction Updates"
"Customweb_Subscription::Type","Type"
"Customweb_Subscription::Uncertain Status","Uncertain Status"
"Customweb_Subscription::Unit for billing during the subscription period.","Eenheid voor de facturering tijdens de inschrijvingsperiode."
"Customweb_Subscription::Update","Update"
"Customweb_Subscription::Update Attributes","Attributen actualisieren"
"Customweb_Subscription::Update Email Template","E-Mail sjabloon 'bijwerken'"
"Customweb_Subscription::Use Default","Use Default"
"Customweb_Subscription::VISA","VISA"
"Customweb_Subscription::Version","version"
"Customweb_Subscription::View","Zien"
"Customweb_Subscription::View list","Bekijk lijst"
"Customweb_Subscription::Visibility","Zichtbaarheid"
"Customweb_Subscription::Websites","Websites"
"Customweb_Subscription::Week","Week"
"Customweb_Subscription::When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_Subscription::Whether to use a fixed shipping amount or calculate it dynamically.","Wil je 'vaste verzendkosten' gebruiken of het berekenen van de vergoeding dynamisch?"
"Customweb_Subscription::Would you like to allow customers to create a subscription of their whole cart?","Wilt u kunnen klanten een abonnement van hun hele winkelwagentje te creëren?"
"Customweb_Subscription::Would you like to purchase this cart as a subscription?","Wilt u deze wagen te kopen als een abonnement?"
"Customweb_Subscription::Year","Jaar"
"Customweb_Subscription::Yes","Ja"
"Customweb_Subscription::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_Subscription::You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_Subscription::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the backend."
"Customweb_Subscription::You can specify the order status when an order is cancelled.","You can specify the order status when an order is cancelled."
"Customweb_Subscription::You cannot access this subscription.","U heeft geen toegang tot dit abonnement."
"Customweb_Subscription::You do not define any plan for this subscription.","You do not define any plan for this subscription."
"Customweb_Subscription::You have to enter a card number.","Je moet een kaartnummer in te voeren."
"Customweb_Subscription::You have to enter bank code of your bank.","Je moet bankcode van uw bank in te voeren."
"Customweb_Subscription::You have to enter commercial number of you company.","Je moet commerciële aantal van jullie bedrijf in te voeren."
"Customweb_Subscription::You have to enter either the CVC code or the issue number of your card.","Je moet ofwel de CVC-code of het nummer van afgifte van uw kaart in te voeren."
"Customweb_Subscription::You have to enter sales tax number of you company.","Je moet omzetbelasting aantal van jullie bedrijf in te voeren."
"Customweb_Subscription::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_Subscription::You have to enter the BIC.","Je moet de BIC in te voeren."
"Customweb_Subscription::You have to enter the CVC code from your card.","U moet de CVC uw kaart in te voeren."
"Customweb_Subscription::You have to enter the IBAN.","Je moet de IBAN in te voeren."
"Customweb_Subscription::You have to enter the account holder name on the card.","Je moet de naam rekeninghouder op de kaart in te voeren."
"Customweb_Subscription::You have to enter the account holder name.","Je moet de naam van de rekeninghouder te voeren."
"Customweb_Subscription::You have to enter the card holder name on the card.","U moet de kaarthouder in te voeren."
"Customweb_Subscription::You have to enter the location of your bank.","Je moet de locatie van uw bank in te voeren."
"Customweb_Subscription::You have to enter the name of the account owner.","Je moet de rekeninghouder te voeren."
"Customweb_Subscription::You have to enter the name of your bank.","Je moet de naam van uw bank in te voeren."
"Customweb_Subscription::You have to enter your IBAN Number.","Je moet voer uw IBAN-nummer."
"Customweb_Subscription::You have to enter your bank account number.","Je moet het rekeningnummer van uw bankrekening in te voeren."
"Customweb_Subscription::You have to enter your social security number.","U moet uw sofi-nummer in te voeren."
"Customweb_Subscription::You may choose one of the cards you paid before on this site.","U kunt kiezen uit een van de kaarten waarmee je eerder hebt betaald op deze site."
"Customweb_Subscription::You selected this subscription plan:","Je hebt dit abonnement plan geselecteerd:"
"Customweb_Subscription::You subscribed to the plan <em>%s</em>.","U bent geabonneerd op het plan <em>%s</em>."
"Customweb_Subscription::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Uw browser staat niet toe dat de uitvoering van JavaScript. Gelieve JavaScript te activeren in uw browser en herlaad deze pagina."
"Customweb_Subscription::customweb ltd","customweb ltd"
"Customweb_Subscription::no","no"
"Customweb_Subscription::yes","yes"
